,
4,4
8,8
9,9
13,13
20,20
24,24
24,24
72,72
88,88
103,103
125,125
138,138
142,142
155,155
164,164
165,165
197,197
225,225
230,230
233,233
249,249
269,269
276,276
280,280
284,284
307,307
328,328
330,330
334,334
337,337
340,340
350,350
355,355
367,367
388,388
394,394
398,398
410,410
414,414
419,419
421,421
423,423
425,425
427,427
430,430
431,431
432,432
460,460
461,461
477,477
495,495
499,499
512,512
528,528
533,533
534,534
535,535
536,536
537,537
545,545
552,552
592,592
617,617
704,704
706,706
710,710
712,712
713,713
715,715
717,717
748,748
752,752
782,782
783,783
784,784
786,786
787,787
788,788
797,797
799,799
